Urban area,State,Population,Housing,Land area (square miles)
Platteville, WI,"11,838","4,424",4.4
Plattsburgh, NY,"28,958","13,647",24
Plattsmouth, NE,"6,655","2,908",3
Pleasant Hill, MO,"8,737","3,423",4.8
Pleasanton, TX,"13,983","5,668",9.1
Plumas Lake, CA,"7,337","2,226",1.9
Plymouth, IN,"12,279","5,236",9.6
Plymouth, NH,"6,166","2,445",5.8
Plymouth, WI,"9,011","4,281",5.3
Pocahontas, AR,"7,164","3,141",5
Pocatello, ID,"72,211","29,266",27.5
Poinciana Southwest, FL,"16,966","6,395",11.8
Poinciana, FL,"53,267","19,372",23.1
Point Pleasant_Gallipolis, WV_OH,"10,544","5,510",9.4
Point Roberts, WA,"1,191","2,175",4.9
Pole Ojea, PR,"2,521","2,626",3.1
Polk City, IA,"5,375","1,941",2.3
Polson, MT,"5,564","3,036",4.7
Ponca City, OK,"24,990","12,044",18.2
Ponce, PR,"118,345","58,865",31.7
Pontiac, IL,"11,078","4,910",4.2
Poolesville, MD,"5,685","1,910",2.9
Poplar Bluff, MO,"20,449","9,497",15.4
Port Angeles, WA,"24,445","11,778",16.7
Port Arthur, TX,"116,819","47,850",66.5
Port Charlotte_North Port, FL,"199,998","105,587",134.7
Port Hadlock_Irondale, WA,"5,372","2,851",5.9
Port Huron, MI,"82,226","37,996",52.5
Port Isabel_South Padre Island_Laguna Vista, TX,"12,413","11,230",7.3
Port Jervis, NY_PA,"16,187","7,573",7.6
Port Lavaca, TX,"12,055","5,006",10.5
Port St. Lucie, FL,"437,745","205,720",224.2
Port Townsend, WA,"10,042","5,633",5.9
Portage, PA,"5,661","2,721",3.6
Portage, WI,"10,555","4,681",5.2
Portales, NM,"12,202","5,384",5.3
Porterville, CA,"69,862","20,950",16.3
Portland, IN,"6,364","3,039",4.2
Portland, ME,"205,356","101,206",123.9
Portland, MI,"5,263","2,299",4.2
Portland, OR_WA,"2,104,238","876,555",519.3
Portland, TN_KY,"12,285","4,779",10.9
Portsmouth, NH_ME,"95,090","58,308",114.3
Portsmouth, OH_KY,"35,346","16,550",21.3
Potala Pastillo, PR,"5,671","2,532",1.6
Poteau, OK,"7,826","3,293",6.4
Potsdam, NY,"8,237","2,703",2.9
Pottsville, PA,"29,600","14,976",13
Poughkeepsie_Newburgh, NY,"314,766","126,555",209.9
Powell, WY,"6,485","2,885",2.6
Prairie du Chien, WI_IA,"6,119","3,136",5.6
Prairie du Sac_Sauk City, WI,"7,846","3,428",2.9
Prairie Grove, AR,"5,496","2,260",2.4
Pratt, KS,"6,589","3,130",3.7
Prescott Valley East, AZ,"7,229","4,225",3.7
Prescott_Prescott Valley, AZ,"92,427","45,998",48.8
Presque Isle, ME,"5,361","2,805",5.3
Prestonsburg, KY,"6,271","3,104",6.5
Price, UT,"13,346","5,968",10.1
Princess Anne, MD,"6,406","2,711",3
Princeton, IL,"7,979","3,910",6.2
Princeton, IN,"8,343","3,995",4.2
Princeton, KY,"6,058","2,985",6.1
Princeton, MN,"4,956","2,240",4.1
Princeton, TX,"18,184","5,936",8.2
Princeville, HI,"2,544","2,740",2.9
Prineville, OR,"12,407","5,298",8.2
Prosser, WA,"6,589","2,525",4.7
Providence, RI_MA,"1,285,806","554,188",544.2
Provincetown, MA,"5,698","7,432",12.3
Provo_Orem, UT,"588,609","172,501",161.1
Pryor Creek, OK,"9,436","4,243",7.2
Pueblo West, CO,"25,413","9,795",22.1
Pueblo, CO,"120,642","52,608",54.7
Pukalani_Haiku_Pauwela_Makawao, HI,"23,305","9,001",16
Pulaski, TN,"8,158","3,779",5
Pulaski, VA,"16,588","7,616",15.4
Pullman, WA,"32,691","13,588",8.1
Punxsutawney, PA,"6,199","3,359",3.8
Pupukea, HI,"15,509","6,503",7.8
Purcell, OK,"7,327","3,111",4.8
Purcellville, VA,"16,475","5,316",7.5
Putnam_Killingly, CT,"34,582","15,702",31
Quartzsite, AZ,"2,280","2,543",3.3
Quincy, FL,"8,541","3,584",6.2
Quincy, IL,"43,427","20,724",22.7
Quincy, WA,"7,846","2,526",5.2
Racine, WI,"134,877","58,182",52.3
Radford, VA,"19,521","8,268",11.1
Rainbow Springs, FL,"4,667","2,540",5.7
Raleigh, NC,"1,106,646","455,527",554.8
Ramona, CA,"14,837","5,076",6.9
Rancho Calaveras, CA,"8,164","3,212",7.2
Ranson_Charles Town, WV,"21,569","8,883",11.4
Rantoul, IL,"13,654","6,328",9
Rapid City, SD,"85,679","38,024",50.3
Rathdrum, ID,"9,241","3,485",4
Raton, NM,"5,629","3,204",4.7
Ravena_Bethlehem, NY,"9,346","4,435",11.8
Rawlins, WY,"7,700","4,067",4.8
Raymond, NH,"5,266","2,317",6.1
Raymondville, TX,"12,986","3,991",5.6
Rayne, LA,"8,493","3,811",4.8
Reading, PA,"276,278","110,684",96.1
Red Bluff, CA,"19,826","8,274",10
Red Oak, IA,"5,516","2,757",2.9
Red Wing, MN,"14,857","6,869",8.2
Redding, CA,"120,602","51,389",67.1
Redmond, OR,"33,293","13,308",14.3
Redwood Falls, MN,"4,608","2,247",3.3
Reedley_Dinuba, CA,"49,614","14,113",9.7
Reedsburg, WI,"10,067","4,481",5.7
Reedsport, OR,"4,503","2,283",2.1
Reidsville, NC,"14,653","7,315",12.8
Reno, NV_CA,"446,529","187,560",165.4
Rensselaer, IN,"5,509","2,510",3.2
Republic, MO,"18,446","7,323",7.5
Rexburg, ID,"41,330","10,591",9.4
Rhinelander, WI,"9,738","5,016",10
Rice Lake, WI,"10,156","4,991",8.3
Richfield, UT,"8,393","3,020",4.7
Richland Center, WI,"4,924","2,452",2.8
Richlands, VA,"8,746","4,547",8.3
Richmond, IN_OH,"43,130","20,795",24.9
Richmond, KY,"42,999","19,014",23.6
Richmond, MI,"6,034","2,628",3
Richmond, MO,"5,857","2,738",4.4
Richmond, VA,"1,059,150","447,842",512.3
Ridgecrest, CA,"29,307","13,017",14.3
Ridgefield, CT,"25,683","10,075",28.8
Ridgefield, WA,"10,356","3,714",6.4
Ridgway, PA,"4,259","2,132",2.5
Rifle, CO,"11,469","4,082",4
Rigby, ID,"10,283","3,361",7.6
Rincon, GA,"14,113","5,514",8.8
Rio Grande City_Roma, TX,"47,070","16,204",19.5
Rio Verde, AZ,"2,765","2,088",3.1
Rio Vista, CA,"9,942","5,187",3.6
Ripley, TN,"6,922","3,154",7.5
Ripon, CA,"15,829","5,596",4.2
Ripon, WI,"8,059","3,581",4.3
Rising Sun, MD,"5,788","2,301",5.2
River Falls, WI,"16,344","6,005",6.3
Riverhead_Southold, NY,"51,120","26,502",52.8
Riverside_San Bernardino, CA,"2,276,703","683,675",608.6
Riverton, WY,"11,234","5,079",6.9
Roanoke Rapids, NC,"23,400","11,171",15.8
Roanoke, VA,"217,312","100,135",125.5
Roaring Spring, PA,"6,239","2,929",5.6
Robertsdale, AL,"7,429","3,003",5.9
Robinson, IL,"6,134","3,202",4.5
Robstown, TX,"10,775","4,198",3.7
Rochelle, IL,"11,013","4,767",9.6
Rochester, IN,"7,333","3,706",5.1
Rochester, MN,"121,587","53,319",51.6
Rochester, NY,"704,327","314,417",291.8
Rock Hill, SC,"218,443","89,706",145.1
Rock Springs, WY,"25,853","11,777",13.7
Rockaway Beach, OR,"1,761","2,552",2.1
Rockdale, TX,"5,464","2,537",3.3
Rockford, IL,"276,443","119,742",133.8
Rockingham, NC,"23,833","11,098",23.1
Rockland, ME,"9,868","5,764",13.2
Rockmart, GA,"7,743","3,265",8.1
Rockport, TX,"16,217","10,898",19.1
Rocky Mount, NC,"63,297","30,235",45
Rocky Mount, VA,"5,411","2,585",6.8
Rogersville, TN,"6,154","2,972",6.1
Rolla, MO,"20,610","9,555",11.6
Rome, GA,"60,403","24,813",44.9
Rome, NY,"29,222","14,264",17.3
Roosevelt, UT,"6,316","2,361",3.3
Rosamond, CA,"17,538","6,395",5.6
Roseburg, OR,"43,484","19,020",20.6
Roswell, NM,"48,831","20,562",25.1
Round Lake Beach_McHenry_Grayslake, IL_WI,"261,835","104,091",127.6
Roxboro, NC,"9,500","4,590",8.1
Roxborough Park, CO,"9,090","3,299",3.8
Royse City, TX,"13,922","4,799",6.1
Ruidoso, NM,"11,042","11,251",16.9
Rumford, ME,"5,585","3,064",3.1
Running Springs, CA,"5,313","3,710",3.6
Rupert, ID,"6,534","2,532",2.8
Rushville, IN,"6,469","3,009",2.9
Russell, KS,"4,066","2,130",2.3
Russells Point, OH,"6,451","6,341",6.2
Russellville, AL,"9,939","3,847",6.9
Russellville, AR,"31,870","13,319",19.5
Russellville, KY,"6,641","3,252",6.7
Ruston, LA,"28,839","11,814",24.4
Rutland, VT,"19,550","10,162",13.7
Sacramento, CA,"1,946,618","726,246",467.6
Safford, AZ,"18,331","7,461",10.5
Saginaw, MI,"116,058","54,759",65.7
Sahuarita, AZ,"17,276","5,718",4.8
Salamanca, NY,"6,375","3,131",5
Salem, IL,"7,153","3,350",4.9
Salem, IN,"6,617","3,016",4
Salem, MO,"4,684","2,359",3.2
Salem, NJ,"5,927","2,861",3.1
Salem, OH,"15,924","7,617",10.6
Salem, OR,"268,331","101,688",72.7
Salida, CO,"5,953","3,415",2.8
Salina, KS,"46,547","20,770",22.5
Salinas, CA,"177,532","48,914",29.9
Salinas_Coco, PR,"13,938","7,628",5.2
Salisbury, MD_DE,"78,075","32,638",48.4
Sallisaw, OK,"7,513","3,431",5.4
Salt Lake City, UT,"1,178,533","424,925",300.4
San Angelo, TX,"99,982","43,410",49.3
San Antonio, TX,"1,992,689","789,482",613.4
San Diego Country Estates, CA,"7,002","2,450",3.3
San Diego, CA,"3,070,300","1,149,240",674.7
San Francisco_Oakland, CA,"3,269,385","1,288,912",428.7
San Germán_Cabo Rojo_Sabana Grande, PR,"97,241","51,393",70.6
San Jose, CA,"1,837,446","658,649",285.5
San Juan, PR,"1,844,410","888,356",763.6
San Luis Obispo, CA,"56,904","22,210",14.1
San Luis, AZ,"24,790","6,634",3.7
San Marcos, TX,"70,801","30,583",24.4
San Rafael_Novato, CA,"246,548","102,961",85.1
Sandersville, GA,"7,097","3,344",8.3
Sandpoint, ID,"12,824","6,419",9.3
Sandusky_Port Clinton, OH,"61,743","39,351",53.8
Sandy, OR,"13,173","4,899",4.2
Sanford, ME,"15,067","6,885",6
Sanford, NC,"36,641","15,279",34.3
Sanger, CA,"27,325","7,986",4.8
Sanger, TX,"8,279","3,144",4.4
Santa Barbara, CA,"202,197","79,353",54.8
Santa Clarita, CA,"278,031","93,011",77.8
Santa Cruz, CA,"169,038","72,855",60.5
Santa Fe, NM,"94,241","47,331",46.8
Santa Isabel, PR,"9,742","4,866",3
Santa Maria, CA,"143,609","42,245",27.1
Santa Paula, CA,"30,675","9,189",5
Santa Rosa, CA,"297,329","116,326",79.4
Saranac Lake, NY,"5,163","3,084",3.1
Saratoga Springs, NY,"75,684","37,354",55.6
Sauk Centre, MN,"4,849","2,256",4.7
Sault Ste. Marie, MI,"12,877","6,042",8.2
Savannah, GA,"309,466","136,572",205.8
Savannah, MO,"5,253","2,301",3.3
Savannah, TN,"8,828","4,124",8.9
Sayre_Waverly, PA_NY,"17,262","8,295",8
Scappoose, OR,"9,652","4,025",5.8
Schuyler, NE,"6,522","2,031",2.6
Schuylkill Haven_Orwigsburg, PA,"14,265","6,482",10.3
Scott City, MO,"4,949","2,238",4.7
Scottsbluff, NE,"25,104","11,342",14.7
Scottsboro, AL,"10,791","5,239",12.3
Scottsburg, IN,"7,578","3,510",4.8
Scottsville, KY,"4,637","2,192",4.8
Scranton, PA,"366,713","172,990",162.2
Seabrook Island, SC,"3,371","5,286",8.4
Seaford_Laurel_Bridgeville, DE,"29,147","11,999",23.6
Sealy, TX,"6,385","2,718",5.7
Searcy, AR,"26,652","11,658",21.3
Seaside, OR,"9,183","6,525",5
Seaside_Monterey_Pacific Grove, CA,"123,495","54,906",41.2
Seattle_Tacoma, WA,"3,544,011","1,468,039",982.5
Sebastopol, CA,"18,734","8,245",15.2
Sebring_Avon Park, FL,"63,297","35,215",44.5
Sedalia, MO,"26,043","12,068",17
Sedona, AZ,"9,190","6,317",12.5
Seguin, TX,"28,998","12,250",20
Selma, AL,"21,207","10,472",18.3
Selma, CA,"32,546","9,737",9.1
Seminole, OK,"6,283","2,870",5.4
Seminole, TX,"7,068","2,807",3.4
Senatobia, MS,"6,817","2,275",3.9
Seneca, SC,"23,105","11,870",31
Sequim, WA,"24,864","12,889",31.9
Severance, CO,"6,408","2,095",1.9
Sevierville, TN,"34,032","18,818",46.4
Seward, NE,"7,473","2,959",3.5
Seymour, IN,"24,247","9,807",14.4
Seymour, TN,"15,219","6,297",13.9
Shafter, CA,"19,278","5,133",4.8
Shamokin_Mount Carmel, PA,"28,461","14,721",7.9
Sharon_Hermitage, PA_OH,"42,169","21,194",28.2
Shawano, WI,"12,229","6,869",10.7
Shawnee, OK,"34,245","14,979",18.9
Sheboygan, WI,"74,369","33,437",35.3
Shelby, NC,"25,955","12,007",25.5
Shelby, OH,"9,317","4,348",5
Shelbyville, IL,"4,872","2,447",3.1
Shelbyville, IN,"21,208","9,460",9.7
Shelbyville, KY,"23,143","9,241",11.5
Shelbyville, TN,"22,552","8,594",13.2
Sheldon, IA,"5,381","2,373",2.8
Shelley, ID,"5,109","1,726",2.2
Shelton, WA,"14,907","5,704",11.7
Shenandoah, IA,"4,872","2,511",3
Shenandoah_Frackville, PA,"12,025","5,638",2.9
Sheridan, AR,"4,710","2,116",4.5
Sheridan, OR,"6,464","1,742",1.7
Sheridan, WY,"19,430","9,347",13
Sherman_Denison, TX,"66,691","28,718",38.5
Shinnston, WV,"4,361","2,057",4
Shippensburg, PA,"17,014","7,339",9.9
Shiprock, NM,"6,190","1,928",5.2
Show Low, AZ,"12,173","8,869",12.6
Shreveport, LA,"288,052","133,212",180.8
Sidney, MT,"6,522","3,166",7
Sidney, NE,"6,232","3,154",4.4
Sidney, NY,"4,247","2,295",2.8
Sidney, OH,"20,734","9,280",10.5
Sierra Vista, AZ,"54,274","24,495",28.3
Sikeston, MO,"17,683","7,951",13.1
Siler City, NC,"8,616","3,228",5.2
Siloam Springs, AR_OK,"18,027","6,734",9.5
Silsbee, TX,"9,234","4,130",12.1
Silver City, NM,"11,817","6,002",10.8
Silver Creek, NY,"3,566","2,044",2.5
Silver Lakes, CA,"5,908","2,649",2.1
Silverthorne_Keystone, CO,"13,867","11,960",11.1
Silverton, OR,"10,909","4,306",3.7
Simi Valley, CA,"127,364","44,405",31.6
Sinton, TX,"5,661","2,203",2.3
Sioux Center, IA,"8,222","2,664",5.6
Sioux City, IA_NE_SD,"113,066","44,463",55
Sioux Falls, SD,"194,283","84,183",67.9
Sitka, AK,"7,668","3,663",6.6
Skiatook, OK,"7,342","2,998",4.2
Skowhegan, ME,"4,795","2,437",2.9
Slatington, PA,"8,362","3,751",3.9
Slaton, TX,"5,678","2,464",2.8
Slidell, LA,"91,587","38,048",52.5
Slippery Rock, PA,"7,226","2,905",4.5
Smithfield, NC,"21,921","9,420",17
Smithfield, VA,"9,725","4,086",7.1
Smithville, MO,"9,684","3,818",6.8
Smithville, TN,"4,825","2,062",4
Snoqualmie, WA,"17,070","5,841",6.8
Snowflake, AZ,"5,342","1,929",3.8
Snowmass Village, CO,"2,392","2,048",2.2
Snyder, TX,"11,547","4,783",7.2
Socorro, NM,"8,122","3,894",5.4
Soldotna, AK,"4,646","2,405",5.1
Soledad, CA,"18,946","4,492",2.4
Solvang_Santa Ynez, CA,"10,295","4,330",5.5
Somerset, KY,"30,832","14,671",38.9
Somerset, PA,"10,098","4,655",6.9
Somerton, AZ,"13,847","4,035",2
Sonoma, CA,"31,479","14,704",14.1
Sonora_Twain Harte, CA,"29,013","16,017",29.1
Sonterra, TX,"9,024","3,182",3.1
South Bend, IN_MI,"278,921","121,637",147.9
South Berwick, ME_NH,"5,584","2,319",4.2
South Boston, VA,"7,413","3,723",6.2
South Haven, MI,"6,357","5,509",9.4
South Hill, VA,"5,076","2,469",6.2
South Lake Tahoe, CA_NV,"31,363","23,573",19.4
South Lyon_Hamburg_Genoa, MI,"145,963","61,107",119.5
South Paris, ME,"4,371","2,198",4.1
South Pittsburg_Bridgeport, TN_AL,"4,687","2,354",5.5
Southbridge Town, MA,"20,789","9,359",11.5
Sparta, MI,"5,630","2,382",4.3
Sparta, TN,"5,691","2,541",7.1
Sparta, WI,"10,185","4,461",5.2
Spartanburg, SC,"196,943","82,772",181
Spearfish, SD,"13,206","6,442",7.9
Spencer, IA,"10,967","5,442",6.1
Spencer, MA,"8,196","4,097",5.2
Spicer_New London, MN,"3,358","2,213",4.3
Spirit Lake, IA,"12,956","10,781",14.9
Spokane, WA,"447,279","187,977",171.7
Spout Springs, NC,"18,281","6,078",12.7
Spring Hill, FL,"169,050","75,458",127.2
Spring Hill, KS,"7,344","2,691",3.1
Spring Hill, TN,"60,309","22,018",23.3
Springfield, IL,"159,265","77,296",81.7
Springfield, MA_CT,"442,145","186,392",201.8
Springfield, MO,"282,651","129,736",134.3
Springfield, OH,"82,369","38,075",45.1
Springfield, TN,"18,430","7,235",9
Springfield, VT,"5,140","2,660",4.4
Springhill, LA,"5,931","3,103",7.4
St. Albans, VT,"11,368","5,232",8
St. Augustine, FL,"91,786","48,906",57.8
St. Clair, MO,"6,303","2,735",3.9
St. Cloud, MN,"117,638","48,944",54
St. Francis, MN,"6,157","2,294",3.9
St. George, UT,"134,109","55,868",61
St. Helen, MI,"2,522","2,342",3.5
St. Helena, CA,"6,086","3,050",4.5
St. Helens, OR,"19,112","7,794",9.5
St. Ignace, MI,"3,457","2,336",5.7
St. James City, FL,"2,055","2,000",1.9
St. James, NC,"7,029","4,434",9
St. Johns, MI,"8,370","3,827",4.9
St. Johnsbury, VT,"4,883","2,472",3.2
St. Joseph, MO_KS,"77,187","35,119",44.3
St. Louis, MO_IL,"2,156,323","975,765",910.4
St. Martinville, LA,"6,399","3,077",4.1
St. Marys, OH,"9,452","4,211",4.8
St. Marys, PA,"9,402","4,552",7.2
St. Peter, MN,"12,145","4,119",5
Stafford Springs, CT,"5,107","2,577",5.2
Stansbury Park, UT,"12,804","3,586",3.1
Stanwood, WA,"7,678","2,983",2.7
Star, ID,"10,673","3,894",3.9
Starke, FL,"6,486","2,690",5.9
Starkville, MS,"32,812","16,188",19.3
State College, PA,"83,674","33,591",25.9
Statesboro, GA,"44,488","17,978",28.3
Statesville, NC,"39,829","17,252",37.5
Staunton, IL,"4,866","2,309",3.1
Staunton_Waynesboro, VA,"59,065","27,498",39.1
Stayton, OR,"11,122","4,366",3.8
Ste. Genevieve, MO,"4,988","2,097",3.1
Steamboat Springs, CO,"14,455","10,532",10.1
Stephenville, TX,"20,852","8,447",9.4
Sterling, CO,"12,278","5,658",5.4
Sterling, IL,"27,602","13,193",14.6
Steubenville_Weirton, OH_WV_PA,"64,981","31,580",46.3
Stevens Point, WI,"44,185","19,540",25.1
Stevensville_Chester_Romancoke, MD,"18,874","8,258",17.6
Stewartville, MN,"6,635","2,685",2.7
Stillwater, MN_WI,"31,474","12,975",16.2
Stillwater, OK,"48,237","22,072",25.1
Stockton, CA,"414,847","129,251",92.5
Storm Lake, IA,"11,860","4,117",3.9
Storrs, CT,"17,747","3,510",7.9
Stoughton, WI,"15,511","7,015",6.7
Strasburg, VA,"7,572","3,294",4.1
Streator, IL,"16,209","7,821",8.1
Sturgeon Bay, WI,"9,429","5,580",6.9
Sturgis, MI,"11,943","4,927",6.2
Sturgis, SD,"7,076","3,431",4
Stuttgart, AR,"8,132","4,049",5.9
Suffolk, VA,"42,480","17,157",23.8
Sugarmill Woods, FL,"12,948","7,100",15.7
Sullivan, IL,"4,414","2,043",2.8
Sullivan, IN,"4,874","2,446",2.7
Sullivan, MO,"7,227","3,384",6.1
Sullivan_Sylvan Beach, NY,"3,251","2,348",3.9
Sulphur Springs, TX,"14,683","6,547",10.8
Sulphur, OK,"4,847","2,174",3.3
Sultan, WA,"5,665","2,105",3.1
Summerset, SD,"5,325","2,119",3.4
Summerville, GA,"10,227","4,185",8.4
Summit Park, UT,"7,317","2,901",3.6
Sumter, SC,"68,825","30,795",57.7
Sunbury, OH,"7,017","2,636",3.3
Sunbury, PA,"28,249","12,642",13.7
Sunderland_South Deerfield, MA,"5,048","2,540",6.9
Sunnyside, WA,"17,140","5,081",5.6
Susanville, CA,"8,995","4,233",3.2
Sutherlin, OR,"9,656","4,221",5.2
Swainsboro, GA,"7,251","3,111",8
Swansboro_Cedar Point, NC,"20,542","10,284",25.5
Swatara, PA,"6,312","2,535",5
Sweet Home, OR,"10,088","4,128",5.2
Sweetwater, TN,"6,468","2,881",7.1
Sweetwater, TX,"10,372","5,035",7.5
Sylacauga, AL,"16,980","8,382",19.3
Sylva, NC,"5,118","2,497",7.2
Sylvester, GA,"6,146","2,726",5.9
Syracuse, IN,"7,393","4,870",6.7
Syracuse, NY,"413,660","183,948",180.5
Taft, CA,"15,022","5,294",3.6
Tafuna_Pago Pago, AS,"37,652","8,742",15
Tahlequah, OK,"17,975","8,286",11.8
Talladega, AL,"12,609","5,687",10.1
Tallahassee, FL,"252,934","116,829",125.5
Tallulah, LA,"6,988","3,029",3.7
Tama, IA,"5,263","2,161",2.9
Tamaqua, PA,"15,158","7,661",2.5
Tampa_St. Petersburg, FL,"2,783,045","1,286,258",968.9
Taneytown, MD,"7,158","2,813",2.3
Taos, NM,"15,665","8,607",18.9
Tarboro, NC,"12,059","5,743",8.5
Taylor, TX,"15,147","5,969",7
Taylorville, IL,"11,525","5,784",5.5
Tazewell, VA,"4,666","2,295",5.2
Tea, SD,"5,595","1,967",3.3
Tecumseh, MI,"13,684","5,914",10.1
Tehachapi_Golden Hills, CA,"17,298","7,041",8.1
Tell City, IN_KY,"9,541","4,754",5.1
Tellico Village, TN,"7,156","4,026",6.9
Telluride_Mountain Village, CO,"4,587","4,347",6.9
Temecula_Murrieta_Menifee, CA,"528,991","174,148",150.5
Temple, TX,"114,632","47,995",58.4
Terre Haute, IN,"79,862","35,852",46.8
Terrell, TX,"16,581","6,180",12.3
Texarkana, TX_AR,"78,744","35,054",66.6
The Dalles, OR,"17,398","7,216",7.7
The Pinery, CO,"14,662","5,025",9.2
The Villages_Lady Lake, FL,"161,736","98,242",98.5
The Woodlands_Conroe, TX,"402,454","153,788",219.1
Thief River Falls, MN,"8,892","4,535",5.3
Thomaston, GA,"14,765","6,679",10.4
Thomasville, GA,"25,231","11,627",22.3
Thomson, GA,"8,788","3,892",8.3
Thousand Oaks, CA,"213,986","79,133",80.2
Three Rivers, MI,"10,166","4,365",8.7
Thurmont, MD,"6,789","2,880",3.8
Tiffin, OH,"20,284","9,154",9.2
Tifton, GA,"24,580","10,511",18.4
Tillamook, OR,"6,166","2,712",2.7
Tiltonsville_Brilliant, OH,"4,115","2,163",3.2
Tippecanoe, IN,"3,713","3,109",4.1
Tipton, IN,"5,668","2,627",2.4
Titusville, FL,"62,459","29,966",40
Titusville, PA,"5,219","2,569",2.2
Toccoa, GA,"11,807","5,219",12.6
Toledo, OH_MI,"497,952","229,911",240.7
Tomah, WI,"9,818","4,560",7
Tonganoxie, KS,"5,489","2,154",2.7
Tooele, UT,"34,892","11,507",11.5
Topeka, KS,"148,956","68,882",84.2
Toppenish, WA,"10,057","2,823",3.1
Torrington, CT,"35,212","17,184",21.8
Torrington, WY,"6,436","3,187",3.6
Towanda, PA,"4,029","2,069",2.9
Tracy_Mountain House, CA,"120,912","36,775",27.1
Traverse City_Garfield, MI,"56,890","28,936",52.4
Treasure Lake, PA,"4,677","2,735",3.3
Tremonton, UT,"11,898","3,904",6.7
Trenton, MO,"5,426","2,859",4.3
Trenton, NJ,"370,422","144,898",133.1
Tri_City_Myrtle Creek, OR,"8,656","3,769",5
Trinidad, CO,"8,323","4,362",4.8
Troy, AL,"14,466","6,857",9.8
Troy, MO,"16,669","6,408",9
Troy, OH,"43,259","18,944",21.6
Truckee, CA,"12,756","11,624",19.4
Trumann, AR,"7,233","3,143",4.3
Truth or Consequences, NM,"7,713","5,603",8.2
Tuba City, AZ,"7,942","2,546",5.6
Tucson, AZ,"875,441","398,383",357.3
Tucumcari, NM,"5,217","2,872",3.8
Tulare, CA,"70,628","21,714",17.7
Tullahoma, TN,"19,297","8,558",14.8
Tulsa, OK,"722,810","314,048",338.3
Tupelo, MS,"40,233","18,370",43.3
Tupper Lake, NY,"3,683","2,056",2.3
Turlock, CA,"79,203","27,325",16.9
Tuscaloosa, AL,"156,450","71,635",88.2
Tuscola, IL,"4,942","2,344",3
Tuskegee, AL,"9,003","4,332",8.2
Twentynine Palms North, CA,"11,665","1,782",2.8
Twentynine Palms, CA,"12,881","6,113",6.8
Twin Falls, ID,"58,808","22,844",22.1
Twin Lakes, WI_IL,"12,603","6,404",9.5
Tybee Island, GA,"3,316","3,121",2.8
Tyler, TX,"131,028","55,860",81.5
Tyrone, PA,"10,442","4,719",6.1
Ukiah, CA,"28,987","11,540",13.2
Ulysses, KS,"5,865","2,314",2.8
Union City, IN_OH,"5,079","2,465",2.6
Union City, TN,"10,605","4,878",8.2
Union Grove, WI,"5,899","2,110",3.7
Union, MO,"12,019","4,961",7.5
Union, SC,"9,729","4,820",9.2
Uniontown, PA,"32,560","15,868",27
Upper Sandusky, OH,"6,628","3,139",4.8
Urbana, MD,"12,966","4,093",3.5
Urbana, OH,"11,122","5,477",6.5
Utica, NY,"119,059","52,462",52
Utuado, PR,"13,008","6,234",11.3
Uvalde, TX,"15,926","6,182",7.4
Vacaville, CA,"101,027","35,582",21.6
Vail, AZ,"12,835","4,690",5.8
Vail, CO,"6,080","8,070",5.1
Valdosta, GA,"76,769","32,392",41.3
Vallejo, CA,"175,132","63,277",39.6
Valley City, ND,"6,547","3,386",3.7
Valley_Lanett, AL_GA,"20,466","9,528",18.1
Valparaiso_Shorewood Forest, IN,"51,867","22,154",33.6
Van Wert, OH,"11,069","5,072",6.2
Vandalia, IL,"8,110","2,927",6.5
Veneta, OR,"6,987","2,693",4.7
Vermillion, SD,"11,659","4,626",4
Vernal, UT,"19,620","7,748",15.7
Vernon, TX,"9,524","4,516",5.8
Vero Beach_Sebastian, FL,"174,292","95,595",106.1
Versailles, KY,"16,855","7,132",7.9
Vicksburg, MS_LA,"25,888","12,760",24.3
Victoria, TX,"65,986","28,572",33.6
Victorville_Hesperia_Apple Valley, CA,"355,816","110,834",131.8
Vidalia, GA,"13,709","6,238",15.4
Vieques (Vieques Municipio), PR,"6,530","4,181",5.5
Villa Rica, GA,"23,202","8,744",19.2
Village of Four Seasons, MO,"7,489","9,467",19.1
Village of Oak Creek (Big Park), AZ,"6,128","4,354",5.3
Ville Platte, LA,"8,097","3,992",4.9
Vincennes, IN,"19,800","9,176",11.8
Vineland, NJ,"87,226","35,033",57
Vineyard Haven_Edgartown_Oak Bluffs, MA,"14,064","11,427",16.6
Vinita, OK,"5,068","2,480",4.7
Vinton, IA,"4,780","2,187",2.8
Virginia Beach_Norfolk, VA,"1,451,578","609,066",481.7
Virginia, MN,"12,724","6,916",6.7
Viroqua, WI,"3,987","2,063",2
Visalia, CA,"160,578","53,821",37.7
Wabash, IN,"10,254","4,965",6
Waco, TX,"192,844","79,136",89.9
Waconia, MN,"13,048","4,835",4.6
Wadena, MN,"4,110","2,043",2.6
Wadesboro, NC,"4,903","2,360",6
Wagoner, OK,"7,470","3,325",5.4
Wahoo, NE,"4,782","2,000",2.2
Wahpeton, ND_MN,"11,290","5,193",7.1
Waikoloa Village, HI,"6,824","3,222",5.9
Walden, NY,"15,784","6,127",11.6
Waldorf, MD,"118,601","42,930",59.4
Waldport, OR,"5,394","4,224",5.5
Wales, WI,"5,364","2,126",6
Walhalla, SC,"5,392","2,415",5.7
Walla Walla, WA_OR,"50,013","20,109",23.9
